DBPC,"DON BOSCO SCHOOL, PARK CIRCUS"
DBL,"DON BOSCO SCHOOL, LILUAH"
SJC,"ST. JOSEPH'S CONVENT, CHANDANNAGAR"
ACB,"AUXILLIUM CONVENT SCHOOL, BANDEL"
SJK,"ST. JOSEPH'S SCHOOL, KANCHRAPARA"
HCK,"HOLY CHILD SCHOOL, KALNA"
HFL,"HOLY FAMILY SHOOL, LILUAH"
HCP,"HOLY CROSS SCHOOL, PANDUA"
TTV,"TRIBENI TISSUES VIDYAPITH"
SJB,"ST. JOHN'S SCHOOL, BANDEL"
MCKV,"MC KEJRIWAL VIDYA PITH"
JDS,"JULIEN DAY SCHOOL, KALYANI"
SDK,"SPRINGDALE HIGH SCHOOL, KALYANI"
ASH,"ABBOT SHISHU HALL"
FAK,"FAMILIA SCHOOL, KANCHRAPARA"
DBB,"DON BOSCO SCHOOL, BANDEL"
